date,year,week_of_year,week_day,calls_offered_predicted
2024-10-01,2024,40,Tuesday,-11.849891512303998
2024-10-02,2024,40,Wednesday,-11.540288817102152
2024-10-03,2024,40,Thursday,-10.6652452630656
2024-10-04,2024,40,Friday,-11.812443745269775
2024-10-05,2024,40,Saturday,-9.685716397785598
2024-10-06,2024,40,Sunday,-9.517523730301406
2024-10-07,2024,41,Monday,-10.769593394701502
2024-10-08,2024,41,Tuesday,-12.10575473288327
2024-10-09,2024,41,Wednesday,-11.796152037681424
2024-10-10,2024,41,Thursday,-10.921108483644872
2024-10-11,2024,41,Friday,-12.068306965849047
2024-10-12,2024,41,Saturday,-9.94157961836487
2024-10-13,2024,41,Sunday,-9.773386950880678
2024-10-14,2024,42,Monday,-11.025456615280802
2024-10-15,2024,42,Tuesday,-12.36161795346257
2024-10-16,2024,42,Wednesday,-12.052015258260724
2024-10-17,2024,42,Thursday,-11.176971704224172
2024-10-18,2024,42,Friday,-12.324170186428347
2024-10-19,2024,42,Saturday,-10.19744283894417
2024-10-20,2024,42,Sunday,-10.029250171459978
2024-10-21,2024,43,Monday,-11.281319835860074
2024-10-22,2024,43,Tuesday,-12.617481174041842
2024-10-23,2024,43,Wednesday,-12.307878478839996
2024-10-24,2024,43,Thursday,-11.432834924803444
2024-10-25,2024,43,Friday,-12.580033407007619
2024-10-26,2024,43,Saturday,-10.453306059523442
2024-10-27,2024,43,Sunday,-10.28511339203925
2024-10-28,2024,44,Monday,-11.537183056439375
2024-10-29,2024,44,Tuesday,-12.873344394621114
2024-10-30,2024,44,Wednesday,-12.563741699419268
2024-10-31,2024,44,Thursday,-11.688698145382716
